date_sourced,uri,date_published
2022-01-11,nyt://article/642b4860-875d-51c6-be7b-1a2d253bb7c1,2022-01-09
2022-01-11,nyt://article/8401ee1b-25f2-51cc-b388-ad37d759dbf7,2022-01-10
2022-01-11,nyt://article/9b5ce161-0850-5592-918d-c25496a08afe,2022-01-10
2022-01-11,nyt://article/960bacd2-8e63-5abc-9fbc-d124e34bb00c,2022-01-09
2022-01-11,nyt://article/8e35ae0e-1d32-552a-a040-0800ed8f21f5,2022-01-10
2022-01-11,nyt://article/01fc5474-6904-5aca-8e4f-d1c5b57b0266,2022-01-09
2022-01-11,nyt://article/d5fcb1b0-16eb-5850-aa0b-899eb72e0b2a,2022-01-09
2022-01-11,nyt://article/6d9c0264-b2b6-5c27-9c1d-e3996e96d03b,2022-01-09
2022-01-11,nyt://article/0d6d8957-3c9c-5f3f-b46c-4bbf5dd6e15c,2022-01-10
2022-01-11,nyt://article/26c2d3b7-87e2-5ddd-9ef1-a045c13e6c50,2022-01-09
2022-01-11,nyt://article/6f612454-94ef-58fe-a5e9-e416bc407d04,2022-01-10
2022-01-11,nyt://article/14cffef1-8737-5510-ad47-7e5e06c81515,2022-01-07
2022-01-11,nyt://article/2b2a1bd7-8e0b-5fd7-a6b8-8d5711f9aaa1,2022-01-10
2022-01-11,nyt://article/52071637-5bea-5870-a222-5634605c3db9,2022-01-07
2022-01-11,nyt://article/909189f6-dcf1-5b75-89b8-a91be8e494d6,2022-01-10
2022-01-11,nyt://article/d044ad88-3f4c-5b9f-9a35-37ecbaea9899,2022-01-09
2022-01-11,nyt://article/659ca21f-24d8-5dc0-909f-f67cd8a6cbf1,2022-01-10
2022-01-11,nyt://article/9713a586-e612-5cb8-a352-c9b153298e1c,2022-01-10
2022-01-11,nyt://article/225081ae-02dc-563f-81f1-0b32ba975804,2022-01-10
2022-01-11,nyt://article/b7b21075-a288-5899-94e9-d5ccb7eda1ac,2022-01-10
