date_sourced,uri,date_published
2022-01-20,nyt://article/9f6fed60-066e-50ac-ace5-a68cc3500929,2022-01-18
2022-01-20,nyt://article/002df691-657e-52a7-8f56-dfb0239d515c,2022-01-19
2022-01-20,nyt://article/624e273f-cddc-5945-988b-f067663ee5dd,2022-01-19
2022-01-20,nyt://article/d5f7fe13-5fce-54c1-9934-c47b73ae819f,2022-01-19
2022-01-20,nyt://article/ff8f11d8-bd96-5c01-80a1-b797c362cde3,2022-01-19
2022-01-20,nyt://article/3d152b52-3644-5717-be25-b38a81b26369,2022-01-19
2022-01-20,nyt://article/9406c70d-50e8-53b0-b230-ed28e1c4eae2,2022-01-19
2022-01-20,nyt://article/f2ba84cd-0c5e-5745-aa62-ba2c34ad6b40,2022-01-19
2022-01-20,nyt://article/62782db3-de09-5963-a58d-ff110ba20f85,2022-01-19
2022-01-20,nyt://article/547f5ed0-370a-54d1-acc8-727fc2b2d88d,2022-01-19
2022-01-20,nyt://article/3431192c-a45b-59d5-b959-9c74c422d293,2022-01-19
2022-01-20,nyt://article/8244b19f-6ec1-5d2f-9d63-50c1b33ea84f,2022-01-19
2022-01-20,nyt://article/3a8e5316-8584-5cfa-a740-d0986f7788df,2022-01-18
2022-01-20,nyt://article/50f02ebb-0beb-5047-bda5-8860a0b8cbf2,2022-01-19
2022-01-20,nyt://article/800ea4cc-e535-5353-9923-046ed0667466,2022-01-19
2022-01-20,nyt://article/bb04830d-d59b-52ee-9508-39e94e675cb7,2022-01-15
2022-01-20,nyt://article/037f56c2-e42b-5d7c-b54b-0d0adaf8c8a2,2022-01-19
2022-01-20,nyt://article/9d02b7aa-8c46-5bb3-b9ed-e02df514c04c,2022-01-19
2022-01-20,nyt://article/c106a629-34ce-5541-9add-9e7dcf9eb695,2022-01-19
2022-01-20,nyt://article/dde50649-a450-5492-afef-cbe1b2d554f8,2022-01-18
