date_sourced,uri,date_published
2022-01-26,nyt://article/0f8f8901-ef58-514a-92ae-3c971b2e5c09,2022-01-25
2022-01-26,nyt://article/178f3b61-3720-5264-8469-d19ed73eb824,2022-01-25
2022-01-26,nyt://article/533b0f92-5dee-5b54-a3f8-dbae2ebdfe02,2022-01-25
2022-01-26,nyt://article/827f0d2f-f81c-5cbf-9496-3908947777bb,2022-01-24
2022-01-26,nyt://article/4206b694-c3f2-5bda-bac5-cf2b19427687,2022-01-25
2022-01-26,nyt://article/263ddd56-78df-5aea-ad0b-c46c43471ebf,2022-01-24
2022-01-26,nyt://article/b7d25967-d8df-5c35-a823-a319dc78486f,2022-01-25
2022-01-26,nyt://article/3bf974ba-8683-57bb-a26c-78b2332cb9d4,2022-01-25
2022-01-26,nyt://article/e867aac6-1a0c-5c48-9a2d-98040dd58bb3,2022-01-24
2022-01-26,nyt://article/9b4927df-2d75-523c-a978-6b5cc85dba8a,2022-01-25
2022-01-26,nyt://article/2b6ff437-d477-53dc-b06e-eacdeec33ad2,2022-01-24
2022-01-26,nyt://article/d626c6e2-0499-52b5-97c3-9ec04083c9a0,2022-01-25
2022-01-26,nyt://article/fdebed39-eb2f-57c1-9bea-79f4e8209895,2022-01-25
2022-01-26,nyt://article/14b8a269-4f81-5e61-b950-8d943daaf68b,2022-01-25
2022-01-26,nyt://article/2f7c81b2-5ba9-5b5b-b5b5-112f7a4f9051,2022-01-24
2022-01-26,nyt://article/8faa8e12-a9e8-51c4-a350-339db378e178,2022-01-25
2022-01-26,nyt://article/cab78784-d043-5462-9ae3-267ec2a31557,2022-01-25
2022-01-26,nyt://article/6561ea59-399e-50f6-8b99-1de7de15b711,2022-01-24
2022-01-26,nyt://article/f483377f-c9a0-5d10-ac3b-05baf425ff5f,2022-01-25
2022-01-26,nyt://article/547ae44a-d0c9-5790-98ce-e6aea3e58bf4,2022-01-25
