date_sourced,uri,date_published
2022-01-10,nyt://article/642b4860-875d-51c6-be7b-1a2d253bb7c1,2022-01-09
2022-01-10,nyt://article/ba267421-f4dd-5ae6-84fc-304bbf52de34,2022-01-09
2022-01-10,nyt://article/01fc5474-6904-5aca-8e4f-d1c5b57b0266,2022-01-09
2022-01-10,nyt://article/c8a2d343-a7a4-55ba-ad65-e5dd5310ede0,2022-01-09
2022-01-10,nyt://article/960bacd2-8e63-5abc-9fbc-d124e34bb00c,2022-01-09
2022-01-10,nyt://article/daba43e1-f96b-5023-adb3-501058ef74a1,2022-01-08
2022-01-10,nyt://article/526653df-90cd-59e3-aadf-81d3be18e3c9,2022-01-08
2022-01-10,nyt://article/88a11aee-de77-51fd-97cb-adc9eaddb7f2,2022-01-07
2022-01-10,nyt://article/ac5543e1-ec6c-5d84-8e09-84e7d197f82d,2022-01-08
2022-01-10,nyt://article/b6d1a470-eb88-555b-ab9a-a0ccfd69aa6b,2022-01-07
2022-01-10,nyt://article/23c67828-2c10-5555-8962-0bbd6b930012,2022-01-08
2022-01-10,nyt://article/8401ee1b-25f2-51cc-b388-ad37d759dbf7,2022-01-10
2022-01-10,nyt://article/57287319-bc8d-5d2c-80d3-01cac89aed01,2022-01-08
2022-01-10,nyt://article/6d9c0264-b2b6-5c27-9c1d-e3996e96d03b,2022-01-09
2022-01-10,nyt://article/e577d38a-d792-51a4-a73f-29b15c3fc0f1,2022-01-08
2022-01-10,nyt://article/e1675e8d-f1dd-54ab-810c-1fbb073e17ab,2022-01-08
2022-01-10,nyt://article/52071637-5bea-5870-a222-5634605c3db9,2022-01-07
2022-01-10,nyt://article/2c4d9d85-cb60-54f8-a0f5-d332b2149b55,2022-01-09
2022-01-10,nyt://article/1bd4a75b-24f5-5db9-91f4-632f7284cd64,2022-01-08
2022-01-10,nyt://article/8bdd5a79-f372-53b1-be12-3ff2c3c89919,2022-01-08
