date_sourced,uri,date_published
2022-01-15,nyt://article/283b5acf-0fca-5df9-abb4-b8ed0e8bad43,2022-01-13
2022-01-15,nyt://article/9894494f-2f27-561a-a633-60fa1e0179d2,2022-01-13
2022-01-15,nyt://article/29715e95-8b0a-56cb-a4fb-ada9bfa20e92,2022-01-13
2022-01-15,nyt://article/2d1ce35d-3057-50f8-8366-67d34de29aec,2022-01-14
2022-01-15,nyt://article/8862f333-40bd-5cbc-951c-65ab60d2befe,2022-01-14
2022-01-15,nyt://article/73f41230-ae81-5b6e-9608-38f600830e05,2022-01-14
2022-01-15,nyt://article/85f37641-e845-5dfe-8a44-7d7b05f72a42,2022-01-13
2022-01-15,nyt://article/50059d75-f30c-5188-af39-c5f0838f69a8,2022-01-14
2022-01-15,nyt://article/d41895a2-89bf-58a3-8145-778da345dc40,2022-01-13
2022-01-15,nyt://article/842a9319-e3e0-5480-8153-8daee5d7e8ec,2022-01-13
2022-01-15,nyt://article/941c0d05-4864-52b2-bc91-d5c37f86dc59,2022-01-14
2022-01-15,nyt://article/264e798a-14be-50dc-b83b-a048f2233e10,2022-01-13
2022-01-15,nyt://article/d29f4dd8-d5c6-523f-aeaf-c90cd8aba20c,2022-01-14
2022-01-15,nyt://article/b950dc69-4118-52a9-bde9-40466e0738bf,2022-01-13
2022-01-15,nyt://article/02a28f83-4b1e-5aa7-b913-3a5311aef885,2022-01-14
2022-01-15,nyt://article/09f6bb42-530f-5005-8d83-9bececbbbfca,2022-01-14
2022-01-15,nyt://article/f3574b73-4f22-555c-9744-27356da9e030,2022-01-13
2022-01-15,nyt://article/7c8de209-7d1b-577d-9b3c-0844b48139cd,2022-01-13
2022-01-15,nyt://article/1d050850-8dfc-58c4-94db-1a283b860642,2022-01-13
2022-01-15,nyt://article/9481071a-f90c-57ce-b0e9-be9f7c8fffe0,2022-01-13
