date_sourced,uri,date_published
2022-01-16,nyt://article/05f8c175-13a5-5014-9cbe-8b8e6e595aea,2022-01-14
2022-01-16,nyt://article/73f41230-ae81-5b6e-9608-38f600830e05,2022-01-14
2022-01-16,nyt://article/b66f987e-2d1e-53c1-af8f-6ba8d834368e,2022-01-14
2022-01-16,nyt://article/fe94733b-9eb3-5bb0-9d26-42a85b624d1e,2022-01-15
2022-01-16,nyt://article/2ff562c3-5739-585d-9ad3-faef214d742d,2022-01-14
2022-01-16,nyt://article/0ce99830-80a2-5f50-90d2-c4752a240ad5,2022-01-14
2022-01-16,nyt://article/3e9f24a2-4313-57d0-bff3-e900f9309062,2022-01-15
2022-01-16,nyt://article/bedbcdf9-3eeb-5cbe-8ad4-cf983b56d0dd,2022-01-14
2022-01-16,nyt://article/3585eb78-fffe-58a1-bf9a-c6a82df8ce3d,2022-01-15
2022-01-16,nyt://article/2d1ce35d-3057-50f8-8366-67d34de29aec,2022-01-14
2022-01-16,nyt://article/73e801a9-d932-5899-96ec-11d092bbb45e,2022-01-16
2022-01-16,nyt://article/d29f4dd8-d5c6-523f-aeaf-c90cd8aba20c,2022-01-14
2022-01-16,nyt://article/8f6337a3-1067-567d-bfc0-7a58d131577f,2022-01-16
2022-01-16,nyt://article/6112ed67-cb64-5ff4-817e-77f7b9df55b8,2022-01-14
2022-01-16,nyt://article/09f6bb42-530f-5005-8d83-9bececbbbfca,2022-01-14
2022-01-16,nyt://article/941c0d05-4864-52b2-bc91-d5c37f86dc59,2022-01-14
2022-01-16,nyt://article/baa8653e-6825-501e-a83d-01f31d5060da,2022-01-14
2022-01-16,nyt://article/29c9642d-3f26-55b2-aea6-da094655727d,2022-01-15
2022-01-16,nyt://article/85f37641-e845-5dfe-8a44-7d7b05f72a42,2022-01-13
2022-01-16,nyt://article/f733e3f7-4925-5411-b1bd-3674140155ff,2022-01-16
